[0.05282608695652171, 0.017681159420289857]
[0.06, 0.05333333333333334]
[0.04, 0.1366666666666667]
[0.0375, 0.0775]
[0.043333333333333335, 0.028333333333333332]
[0.04, 0.03]
[0.09, 0.13946428571428568]
[0.09666666666666668, 0.06833333333333334]
[0.041428571428571426, 0.034285714285714294]
[0.07964285714285715, 0.04321428571428572]
[0.02, 0.125]
[0.049722222222222244, 0.11555555555555556]
[0.06500000000000002, 0.16249999999999998]
[0.015, 0.025]
[0.0125, 0.11499999999999999]
[0.03, 0.04]
[0.03781249999999998, 0.11802083333333335]
[0.06071428571428573, 0.05357142857142859]
[0.03, 0.08]
[0.05666666666666667, 0.07333333333333333]
[0.06, 0.03333333333333333]
[0.055, 0.0625]
[0.027647058823529413, 0.0688235294117647]
[0.054000000000000006, 0.057499999999999996]
[0.05, 0.19]
[0.07958333333333334, 0.10000000000000002]
[0.05307692307692309, 0.09999999999999999]
[0.030000000000000006, 0.06866666666666668]
[0.05142857142857144, 0.0842857142857143]
[0.035, 0.105]
[0.06675, 0.12224999999999997]
[0.0675, 0.025]
[0.07000000000000002, 0.11]
[0.065, 0.09]
[0.05824324324324325, 0.05722972972972971]
[0.043333333333333335, 0.049999999999999996]
[0.04, 0.055]
[0.052500000000000005, 0.0275]
[0.04555555555555555, 0.03888888888888889]
[0.055000000000000014, 0.04833333333333334]
[0.04520710059171593, 0.10242603550295859]
[0.04807692307692309, 0.04480769230769232]
[0.029807692307692327, 0.042692307692307696]
[0.03502564102564097, 0.2048717948717949]
[0.052307692307692305, 0.09923076923076925]
[0.047692307692307694, 0.05999999999999999]
[0.04919191919191915, 0.16848484848484846]
[0.053793103448275856, 0.06413793103448275]
[0.05054054054054056, 0.06594594594594595]
[0.023076923076923075, 0.10000000000000002]
[0.025, 0.048999999999999995]
[0.036969696969696986, 0.16999999999999998]
[0.06279999999999997, 0.06533333333333328]
[0.017272727272727273, 0.060000000000000005]
[0.036206896551724155, 0.14689655172413796]
[0.0675, 0.14]
[0.035, 0.08499999999999999]
[0.05851063829787232, 0.06957446808510638]
[0.04538461538461539, 0.1284615384615385]
[0.08374999999999998, 0.09604166666666665]
[0.05333333333333334, 0.13333333333333333]
[0.022500000000000003, 0.1733333333333333]
[0.045277777777777806, 0.058888888888888914]
[0.06315217391304344, 0.0559782608695652]
[0.04, 0.1366666666666667]
[0.054000000000000006, 0.076]
[0.049999999999999996, 0.262]
[0.034374999999999996, 0.059375]
[0.062352941176470604, 0.07647058823529415]
[0.11300000000000003, 0.09350000000000003]
[0.046, 0.062]
[0.08714285714285716, 0.08642857142857144]
[0.037500000000000006, 0.05900000000000001]
[0.06555555555555556, 0.10666666666666669]
[0.04, 0.09]
[0.07307692307692307, 0.05846153846153847]
[0.042131147540983606, 0.08754098360655733]
[0.01, 0.14]
[0.066, 0.036000000000000004]
[0.055, 0.09]
[0.07, 0.09000000000000001]
[0.057368421052631596, 0.051578947368421064]
[0.07227272727272728, 0.17954545454545454]
[0.05605263157894739, 0.05157894736842108]
[0.07698113207547172, 0.09226415094339623]
[0.05333333333333334, 0.12333333333333334]
[0.06166666666666668, 0.06916666666666667]
[0.08, 0.049999999999999996]
[0.052727272727272734, 0.06727272727272728]
[0.05, 0.06]
[0.04, 0.08]
[0.05, 0.09]
[0.061562499999999985, 0.07296874999999997]
[0.018571428571428572, 0.06571428571428573]
[0.024153846153846165, 0.05984615384615383]
[0.08571428571428573, 0.03428571428571429]
[0.052238805970149245, 0.15044776119402986]
[0.06204081632653059, 0.11183673469387752]
[0.040999999999999995, 0.04200000000000001]
[0.045, 0.05500000000000001]
[0.14333333333333334, 0.1433333333333333]
[0.1, 0.08]
[0.046, 0.06200000000000001]
[0.03, 0.07]
[0.04928571428571429, 0.024285714285714292]
[0.05363636363636364, 0.05454545454545456]
[0.05333333333333334, 0.07]
[0.05333333333333333, 0.06222222222222223]
[0.06806451612903228, 0.11161290322580647]
[0.045, 0.025]
[0.05062500000000002, 0.051875000000000004]
[0.07, 0.04]
[0.05888888888888889, 0.031111111111111114]
[0.03371794871794872, 0.10166666666666667]
[0.04400000000000001, 0.033600000000000005]
[0.053750000000000006, 0.07125]
[0.05837209302325583, 0.05813953488372094]
[0.05083333333333334, 0.05666666666666668]
[0.045, 0.05500000000000001]
[0.03, 0.06]
[0.07528301886792452, 0.054150943396226434]
[0.07, 0.05]
[0.03365853658536586, 0.03097560975609757]
[0.05333333333333334, 0.09999999999999999]
[0.0375, 0.1375]
[0.05727272727272726, 0.1381818181818182]
[0.04700000000000001, 0.15799999999999997]
[0.03, 0.01]
[0.03142857142857143, 0.028571428571428574]
[0.07777777777777778, 0.06555555555555555]
[0.099, 0.242]
[0.05416666666666669, 0.10416666666666669]
[0.02, 0.035]
[0.0431818181818182, 0.056136363636363644]
[0.07074380165289253, 0.07173553719008265]
[0.03526315789473685, 0.04000000000000001]
[0.02, 0.02]
[0.04, 0.08333333333333333]
[0.07, 0.054000000000000006]
[0.08272727272727273, 0.08636363636363636]
[0.034, 0.044]
[0.05893617021276596, 0.04574468085106384]
[0.043600000000000014, 0.058800000000000026]
[0.04666666666666666, 0.12222222222222223]
[0.07500000000000001, 0.15999999999999998]
[0.14578947368421052, 0.12473684210526316]
[0.06, 0.03]
[0.061250000000000006, 0.09250000000000001]
[0.04, 0.12]
[0.07, 0.18999999999999997]
[0.03166666666666667, 0.026666666666666672]
[0.027499999999999997, 0.15000000000000002]
[0.03, 0.08]
[0.035, 0.065]
[0.08821428571428573, 0.05464285714285716]
[0.055, 0.105]
[0.0473033707865168, 0.06224719101123591]
[0.05, 0.03]
[0.01, 0.07]
[0.04371428571428574, 0.05285714285714289]
[0.04461538461538462, 0.09538461538461539]
[0.05, 0.03875]
[0.042608695652173935, 0.03869565217391306]
[0.045732217573221684, 0.03623430962343087]
[0.01, 0.02]
[0.051111111111111135, 0.047407407407407426]
[0.062391304347826096, 0.035434782608695675]
[0.04200000000000001, 0.030000000000000006]
[0.01, 0.14]
[0.09885714285714285, 0.09328571428571421]
[0.052510288065843576, 0.05868312757201637]
[0.05625, 0.045]
[0.05536585365853661, 0.12268292682926824]
[0.0625, 0.12999999999999998]
[0.06387096774193544, 0.03435483870967743]
[0.060000000000000005, 0.0642857142857143]
[0.05689655172413795, 0.0727586206896552]
[0.050309278350515435, 0.07824742268041235]
[0.09052631578947373, 0.07601503759398491]
[0.0611764705882353, 0.03235294117647059]
[0.06430555555555555, 0.027500000000000017]
[0.03139130434782604, 0.03547826086956516]
[0.057999999999999996, 0.034]
[0.03294117647058824, 0.13]
[0.052500000000000005, 0.1625]
[0.053000000000000005, 0.031]
[0.05399999999999999, 0.037]
[0.040000000000000015, 0.12921568627450977]
[0.04920353982300881, 0.03999999999999996]
[0.0488888888888889, 0.02888888888888889]
[0.08, 0.045]
[0.029090909090909098, 0.09909090909090912]
[0.03937500000000001, 0.036250000000000004]
[0.065, 0.10625]
[0.04705882352941179, 0.08529411764705884]
[0.04060052219321138, 0.0968668407310705]
[0.0666101694915254, 0.09915254237288135]
[0.028965517241379322, 0.15310344827586206]
[0.0525, 0.036250000000000004]
[0.030909090909090928, 0.10036363636363635]
[0.0696240601503759, 0.061804511278195466]
[0.08, 0.04]
[0.06154639175257729, 0.07938144329896903]
[0.060454545454545476, 0.04727272727272727]
[0.04, 0.060000000000000005]
[0.04238095238095239, 0.06380952380952383]
[0.03666666666666667, 0.03]
[0.045714285714285714, 0.027142857142857142]
[0.05517857142857143, 0.06249999999999999]
[0.03421052631578949, 0.05447368421052632]
[0.085, 0.1325]
[0.08867346938775504, 0.05387755102040815]
[0.07785714285714287, 0.05821428571428573]
[0.06454545454545454, 0.06090909090909092]
[0.03786163522012572, 0.037484276729559715]
[0.06392857142857146, 0.05392857142857144]
[0.03786324786324786, 0.025384615384615367]
